round,match_date,home_team,guest_team,stadium,date_added,score_home_team,score_guest_team,winning_team,is_weekend,match_period,day_of_week,home_team_wins_last_5,home_team_draws_last_5,home_team_loses_last_5,guest_team_wins_last_5,guest_team_draws_last_5,guest_team_loses_last_5
Rodada 20,2024-07-28 16:00:00,Flamengo,Atlético-GO,Maracanã,2025-05-21 21:28:59.718058,2,0,home,True,afternoon,Sunday,3,1,1,0,1,4
Rodada 20,2024-07-28 19:00:00,Atlético-MG,Corinthians,Arena MRV,2025-05-21 21:28:59.778068,2,1,home,True,night,Sunday,2,1,2,2,1,2
Rodada 20,2024-07-28 19:00:00,Grêmio,Vasco,Arena Condá,2025-05-21 21:28:59.747212,1,0,home,True,night,Sunday,1,1,3,4,0,1
Rodada 20,2024-07-28 19:00:00,Cuiabá,Athletico-PR,Arena Pantanal,2025-05-21 21:28:59.814758,1,2,guest,True,night,Sunday,1,2,2,2,0,3
Rodada 21,2024-08-03 16:00:00,Vitória,Cuiabá,Barradão,2025-05-21 21:29:00.630532,1,0,home,True,afternoon,Saturday,1,0,4,1,1,3
Rodada 21,2024-08-03 19:00:00,Vasco,Bragantino,São Januário,2025-05-21 21:29:00.647146,2,2,draw,True,night,Saturday,3,0,2,2,0,3
Rodada 21,2024-08-03 20:00:00,Atlético-GO,Botafogo,Antônio Accioly,2025-05-21 21:29:00.687680,1,4,guest,True,night,Saturday,0,1,4,3,1,1
Rodada 21,2024-08-03 20:00:00,Criciúma,Atlético-MG,Heriberto Hülse,2025-05-21 21:29:00.723931,2,1,home,True,night,Saturday,1,2,2,3,1,1
Rodada 21,2024-08-03 21:30:00,São Paulo,Flamengo,Morumbi,2025-05-21 21:29:00.759185,1,0,home,True,night,Saturday,1,2,2,3,1,1
Rodada 21,2024-08-04 16:00:00,Fluminense,Bahia,Maracanã,2025-05-21 21:29:00.778983,1,0,home,True,afternoon,Sunday,3,1,1,1,2,2
Rodada 21,2024-08-04 16:00:00,Athletico-PR,Grêmio,Arena da Baixada,2025-05-21 21:29:00.868264,0,2,guest,True,afternoon,Sunday,2,0,3,2,1,2
Rodada 21,2024-08-04 16:00:00,Corinthians,Juventude,Arena Corinthians,2025-05-21 21:29:00.823019,1,1,draw,True,afternoon,Sunday,2,1,2,1,2,2
Rodada 21,2024-08-04 17:00:00,Internacional,Palmeiras,Beira-Rio,2025-05-21 21:29:00.911591,1,1,draw,True,afternoon,Sunday,0,3,2,2,0,3
Rodada 21,2024-08-05 21:00:00,Cruzeiro,Fortaleza,Kleber Andrade,2025-05-21 21:29:00.948278,1,2,guest,False,night,Monday,4,0,1,4,1,0
Rodada 22,2024-08-10 16:00:00,Fortaleza,Criciúma,Castelão (CE),2025-05-21 21:29:01.597047,1,0,home,True,afternoon,Saturday,4,1,0,2,1,2
Rodada 22,2024-08-10 19:00:00,Cuiabá,Grêmio,Arena Pantanal,2025-05-21 21:29:01.612514,1,3,guest,True,night,Saturday,1,1,3,3,1,1
Rodada 22,2024-08-10 21:30:00,Vasco,Fluminense,Nilton Santos (Engenhão),2025-05-21 21:29:01.683194,2,0,home,True,night,Saturday,2,1,2,4,1,0
Rodada 22,2024-08-10 21:30:00,Cruzeiro,Atlético-MG,Mineirão,2025-05-21 21:29:01.644579,0,0,draw,True,night,Saturday,3,0,2,3,1,1
